,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
1,5-LOX activating protein,peptide,['ALOX5AP'],,,,,inferred from Human
2,ACTH,peptide,['POMC'],,,,,inferred from Mouse
3,ADP-ribosylation factor 1,peptide,['ARF1'],,,,,inferred from Human
6,BAFF,peptide,"['TNFSF13B', 'ENSGALG00000049342', 'ENSGALG00000052140']",,,,,inferred from Human
7,BDNF,peptide,['BDNF'],,,,,inferred from Human
8,BMP-10,peptide,['BMP10'],,,,,inferred from Human
9,BMP-2,peptide,['BMP2'],,,,,inferred from Human
10,BMP-4,peptide,['BMP4'],,,,,inferred from Human
11,BMP-5,peptide,['BMP5'],,,,,inferred from Human
12,BMP-6,peptide,['BMP6'],,,,,inferred from Human
13,BMP-7,peptide,['BMP7'],,,,,inferred from Human
14,BMP-8A,peptide,['ENSGALG00000038984'],,,,,inferred from Human
15,BMP-8B,peptide,['ENSGALG00000038984'],,,,,inferred from Human
16,BMP-9,peptide,['GDF2'],,,,,inferred from Human
17,C-type natriuretic peptide,peptide,['NPPC'],,,,,inferred from Human
18,C3a,peptide,['C3'],,,,,inferred from Human
19,C5a,peptide,['C5'],,,,,inferred from Human
20,C5a des-Arg,peptide,['C5'],,,,,inferred from Human
21,CCK-33,peptide,['CCK'],,,,,inferred from Human
22,CCK-39,peptide,['CCK'],,,,,inferred from Human
23,CCK-4,peptide,['CCK'],,,,,inferred from Human
24,CCK-58,peptide,['CCK'],,,,,inferred from Human
25,CCK-8,peptide,['CCK'],,,,,inferred from Mouse
29,CCL14,peptide,"['ENSGALG00000014585', 'ENSGALG00000049551', 'ENSGALG00000053121', 'ENSGALG00000054196']",,,,,inferred from Human
30,CCL15,peptide,"['ENSGALG00000014585', 'ENSGALG00000049551', 'ENSGALG00000053121', 'ENSGALG00000054196']",,,,,inferred from Human
34,CCL19,peptide,"['CCL19', 'CCL19']",,,,,inferred from Mouse
36,CCL20,peptide,['CCL20'],,,,,inferred from Human
39,CCL23,peptide,"['ENSGALG00000014585', 'ENSGALG00000049551', 'ENSGALG00000053121', 'ENSGALG00000054196']",,,,,inferred from Human
40,CCL24,peptide,['CX3CL1'],,,,,inferred from Human
46,CCL4,peptide,"['CCL4', 'CCL4']",,,,,inferred from Human
47,CCL5,peptide,['CCL5'],,,,,inferred from Human
50,CD30 ligand,peptide,['TNFSF8'],,,,,inferred from Human
51,CD40 ligand,peptide,['CD40LG'],,,,,inferred from Human
53,CLUL1 (52-77),peptide,['CLUL1'],,,,,inferred from Human
54,CRAMP,peptide,"['CATHL2', 'CATHL1', 'CATHL3']",,,,,inferred from Mouse
61,CXCL12α,peptide,['CXCL12'],,,,,inferred from Human
62,CXCL12β,peptide,['CXCL12'],,,,,inferred from Human
63,CXCL12γ,peptide,['CXCL12'],,,,,inferred from Human
64,CXCL12δ,peptide,['CXCL12'],,,,,inferred from Human
65,CXCL12ε,peptide,['CXCL12'],,,,,inferred from Human
66,CXCL12φ,peptide,['CXCL12'],,,,,inferred from Human
67,CXCL13,peptide,"['CXCL13L2', 'CXCL13L3', 'CXCL13']",,,,,inferred from Human
74,CXCL7,peptide,['ENSGALG00000046160'],,,,,inferred from Human
75,CXCL8,peptide,"['IL8L1', 'IL8']",,,,,inferred from Human
79,Chgb (511-532),peptide,['CHGB'],,,,,inferred from Rat
80,EGF,peptide,['EGF'],,,,,inferred from Human
84,F2L,peptide,['HEBP1'],,,,,inferred from Human
85,FLRT3,peptide,['FLRT3'],,,,,inferred from Rat
87,Fas ligand,peptide,['FASLG'],,,,,inferred from Human
89,G-CSF,peptide,['CSF3'],,,,,inferred from Human
90,GHRH,peptide,['GHRH'],,,,,inferred from Human
94,GnRH I,peptide,['GnRH-I'],,,,,inferred from Mouse
96,Guanylyl cyclase-activating protein 2,peptide,['GUCA1B'],,,,,inferred from Mouse
97,HB-EGF,peptide,['HBEGF'],,,,,inferred from Human
99,IFN-α10,peptide,"['IFNW1', 'ENSGALG00000015062', 'ENSGALG00000044725', 'IFN-A', 'IFN-A', 'IFN-A', 'IFN-A', 'ENSGALG00000052209', 'ENSGALG00000053207', 'IFN-A', 'ENSGALG00000054104', 'ENSGALG00000054368', 'ENSGALG00000054396']",,,,,inferred from Human
