,receptor,family,type,gene
0,5-HT1B receptor,5-Hydroxytryptamine receptors,gpcr,['htr1b']
1,5-HT1D receptor,5-Hydroxytryptamine receptors,gpcr,['HTR1D']
2,5-ht1e receptor,5-Hydroxytryptamine receptors,gpcr,['htr1e']
3,5-HT1F receptor,5-Hydroxytryptamine receptors,gpcr,['htr1f']
4,5-HT2A receptor,5-Hydroxytryptamine receptors,gpcr,['slc25a29']
5,5-HT2B receptor,5-Hydroxytryptamine receptors,gpcr,['htr2b']
6,5-HT2C receptor,5-Hydroxytryptamine receptors,gpcr,['htr2c']
7,5-HT4 receptor,5-Hydroxytryptamine receptors,gpcr,['htr4']
8,5-HT5A receptor,5-Hydroxytryptamine receptors,gpcr,['gas8']
9,5-HT7 receptor,5-Hydroxytryptamine receptors,gpcr,"['exd2', 'ENSXETG00000040447']"
10,M1 receptor,Acetylcholine receptors (muscarinic),gpcr,['chrm1']
11,M2 receptor,Acetylcholine receptors (muscarinic),gpcr,['chrm2']
12,M3 receptor,Acetylcholine receptors (muscarinic),gpcr,"['chrm3', 'ENSXETG00000037860']"
13,M4 receptor,Acetylcholine receptors (muscarinic),gpcr,['cfb']
14,M5 receptor,Acetylcholine receptors (muscarinic),gpcr,['chrm5']
15,A1 receptor,Adenosine receptors,gpcr,['adora1']
16,A2A receptor,Adenosine receptors,gpcr,['adora2a']
17,A2B receptor,Adenosine receptors,gpcr,['adora2b']
18,A3 receptor,Adenosine receptors,gpcr,"['unnamed1010847', 'adora3.2', 'ENSXETG00000031634']"
19,ADGRA1,Adhesion Class GPCRs,gpcr,['adgra1']
20,ADGRA2,Adhesion Class GPCRs,gpcr,['adgra2']
21,ADGRA3,Adhesion Class GPCRs,gpcr,['adgra3']
22,ADGRB1,Adhesion Class GPCRs,gpcr,['adgrb1']
23,ADGRB2,Adhesion Class GPCRs,gpcr,['adgrb2']
24,ADGRB3,Adhesion Class GPCRs,gpcr,['adgrb3']
25,CELSR1,Adhesion Class GPCRs,gpcr,['celsr1']
